cluster,class,path
5,org.apache.hadoop.mapreduce.lib.output.MultipleOutputs,lib/output/MultipleOutputs.java
5,org.apache.hadoop.mapreduce.task.TaskInputOutputContextImpl,task/TaskInputOutputContextImpl.java
6,org.apache.hadoop.mapreduce.Counters,Counters.java
7,org.apache.hadoop.mapreduce.CryptoUtils,CryptoUtils.java
7,org.apache.hadoop.mapreduce.JobACL,JobACL.java
7,org.apache.hadoop.mapreduce.counters.Limits,counters/Limits.java
7,org.apache.hadoop.mapreduce.filecache.ClientDistributedCacheManager,filecache/ClientDistributedCacheManager.java
7,org.apache.hadoop.mapreduce.filecache.DistributedCache,filecache/DistributedCache.java
7,org.apache.hadoop.mapreduce.security.TokenCache,security/TokenCache.java
7,org.apache.hadoop.mapreduce.util.MRJobConfUtil,util/MRJobConfUtil.java
8,org.apache.hadoop.mapreduce.InputFormat,InputFormat.java
8,org.apache.hadoop.mapreduce.RecordReader,RecordReader.java
8,org.apache.hadoop.mapreduce.lib.input.CombineFileInputFormat,lib/input/CombineFileInputFormat.java
8,org.apache.hadoop.mapreduce.lib.input.CombineFileRecordReader,lib/input/CombineFileRecordReader.java
8,org.apache.hadoop.mapreduce.lib.input.CombineFileRecordReaderWrapper,lib/input/CombineFileRecordReaderWrapper.java
8,org.apache.hadoop.mapreduce.lib.input.DelegatingInputFormat,lib/input/DelegatingInputFormat.java
8,org.apache.hadoop.mapreduce.lib.input.DelegatingRecordReader,lib/input/DelegatingRecordReader.java
8,org.apache.hadoop.mapreduce.lib.input.FixedLengthInputFormat,lib/input/FixedLengthInputFormat.java
8,org.apache.hadoop.mapreduce.lib.input.FixedLengthRecordReader,lib/input/FixedLengthRecordReader.java
8,org.apache.hadoop.mapreduce.lib.input.KeyValueLineRecordReader,lib/input/KeyValueLineRecordReader.java
8,org.apache.hadoop.mapreduce.lib.input.KeyValueTextInputFormat,lib/input/KeyValueTextInputFormat.java
8,org.apache.hadoop.mapreduce.lib.input.LineRecordReader,lib/input/LineRecordReader.java
8,org.apache.hadoop.mapreduce.lib.input.NLineInputFormat,lib/input/NLineInputFormat.java
8,org.apache.hadoop.mapreduce.lib.input.SequenceFileAsTextRecordReader,lib/input/SequenceFileAsTextRecordReader.java
8,org.apache.hadoop.mapreduce.lib.input.SequenceFileInputFormat,lib/input/SequenceFileInputFormat.java
8,org.apache.hadoop.mapreduce.lib.input.SequenceFileRecordReader,lib/input/SequenceFileRecordReader.java
8,org.apache.hadoop.mapreduce.lib.input.TextInputFormat,lib/input/TextInputFormat.java
8,org.apache.hadoop.mapreduce.lib.join.ComposableInputFormat,lib/join/ComposableInputFormat.java
10,org.apache.hadoop.mapreduce.JobContext,JobContext.java
10,org.apache.hadoop.mapreduce.lib.chain.ChainMapContextImpl,lib/chain/ChainMapContextImpl.java
10,org.apache.hadoop.mapreduce.lib.chain.ChainReduceContextImpl,lib/chain/ChainReduceContextImpl.java
10,org.apache.hadoop.mapreduce.task.JobContextImpl,task/JobContextImpl.java
11,org.apache.hadoop.mapreduce.JobID,JobID.java
11,org.apache.hadoop.mapreduce.JobStatus,JobStatus.java
11,org.apache.hadoop.mapreduce.TaskAttemptID,TaskAttemptID.java
11,org.apache.hadoop.mapreduce.TaskID,TaskID.java
12,org.apache.hadoop.mapreduce.JobResourceUploader,JobResourceUploader.java
12,org.apache.hadoop.mapreduce.JobSubmitter,JobSubmitter.java
12,org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregatorJob,lib/aggregate/ValueAggregatorJob.java
12,org.apache.hadoop.mapreduce.lib.input.FileInputFormat,lib/input/FileInputFormat.java
12,org.apache.hadoop.mapreduce.lib.input.MultipleInputs,lib/input/MultipleInputs.java
12,org.apache.hadoop.mapreduce.lib.jobcontrol.ControlledJob,lib/jobcontrol/ControlledJob.java
12,org.apache.hadoop.mapreduce.lib.partition.InputSampler,lib/partition/InputSampler.java
12,org.apache.hadoop.mapreduce.util.ConfigUtil,util/ConfigUtil.java
13,org.apache.hadoop.mapreduce.QueueInfo,QueueInfo.java
14,org.apache.hadoop.mapreduce.MapContext,MapContext.java
