model,alpha,k,output
jinaai/jina-code-embeddings-0.5b,0.2,6,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.2_k_6.rsf
jinaai/jina-code-embeddings-0.5b,0.2,8,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.2_k_8.rsf
jinaai/jina-code-embeddings-0.5b,0.2,10,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.2_k_10.rsf
jinaai/jina-code-embeddings-0.5b,0.2,12,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.2_k_12.rsf
jinaai/jina-code-embeddings-0.5b,0.2,15,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.2_k_15.rsf
jinaai/jina-code-embeddings-0.5b,0.4,6,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.4_k_6.rsf
jinaai/jina-code-embeddings-0.5b,0.4,8,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.4_k_8.rsf
jinaai/jina-code-embeddings-0.5b,0.4,10,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.4_k_10.rsf
jinaai/jina-code-embeddings-0.5b,0.4,12,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.4_k_12.rsf
jinaai/jina-code-embeddings-0.5b,0.4,15,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.4_k_15.rsf
jinaai/jina-code-embeddings-0.5b,0.6,6,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.6_k_6.rsf
jinaai/jina-code-embeddings-0.5b,0.6,8,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.6_k_8.rsf
jinaai/jina-code-embeddings-0.5b,0.6,10,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.6_k_10.rsf
jinaai/jina-code-embeddings-0.5b,0.6,12,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.6_k_12.rsf
jinaai/jina-code-embeddings-0.5b,0.6,15,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.6_k_15.rsf
jinaai/jina-code-embeddings-0.5b,0.8,6,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.8_k_6.rsf
jinaai/jina-code-embeddings-0.5b,0.8,8,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.8_k_8.rsf
jinaai/jina-code-embeddings-0.5b,0.8,10,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.8_k_10.rsf
jinaai/jina-code-embeddings-0.5b,0.8,12,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.8_k_12.rsf
jinaai/jina-code-embeddings-0.5b,0.8,15,/content/week3_output/group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.8_k_15.rsf
